UTC,Open,High,Low,Close,Volume
07.08.2025 06:00:00.000 UTC,1.16751,1.1676,1.16741,1.16749,109.27
07.08.2025 06:01:00.000 UTC,1.16749,1.16751,1.16737,1.1675,46.2
07.08.2025 06:02:00.000 UTC,1.16748,1.16754,1.16739,1.1675,70.2
07.08.2025 06:03:00.000 UTC,1.1675,1.16751,1.16724,1.16725,67.5
07.08.2025 06:04:00.000 UTC,1.16725,1.16729,1.16721,1.16721,28.8
07.08.2025 06:05:00.000 UTC,1.16723,1.16727,1.16716,1.16724,46.35
07.08.2025 06:06:00.000 UTC,1.16725,1.16742,1.16714,1.16725,71.49
07.08.2025 06:07:00.000 UTC,1.16726,1.16739,1.16722,1.16735,64.89
07.08.2025 06:08:00.000 UTC,1.16734,1.16734,1.16707,1.16707,70.5
07.08.2025 06:09:00.000 UTC,1.16707,1.16708,1.16701,1.16705,114.75
07.08.2025 06:10:00.000 UTC,1.16703,1.16709,1.16693,1.16693,72.51
07.08.2025 06:11:00.000 UTC,1.16694,1.16708,1.16694,1.16704,118.08
07.08.2025 06:12:00.000 UTC,1.16701,1.16703,1.16686,1.1669,112.63
07.08.2025 06:13:00.000 UTC,1.16691,1.16696,1.16688,1.16693,193.35
07.08.2025 06:14:00.000 UTC,1.16692,1.16692,1.16678,1.16681,98.13
07.08.2025 06:15:00.000 UTC,1.16681,1.16715,1.16681,1.16712,155.82
07.08.2025 06:16:00.000 UTC,1.16712,1.16726,1.16711,1.16716,116.55
07.08.2025 06:17:00.000 UTC,1.16717,1.16751,1.16717,1.16744,128.7
07.08.2025 06:18:00.000 UTC,1.16743,1.16745,1.16738,1.1674,64.65
07.08.2025 06:19:00.000 UTC,1.16741,1.16744,1.16711,1.16719,171.15
07.08.2025 06:20:00.000 UTC,1.1672,1.1674,1.16718,1.1673,108.12
07.08.2025 06:21:00.000 UTC,1.16729,1.1673,1.1672,1.16724,93.41
07.08.2025 06:22:00.000 UTC,1.16724,1.16731,1.16719,1.16724,35.67
07.08.2025 06:23:00.000 UTC,1.16729,1.16735,1.1672,1.1672,34.29
07.08.2025 06:24:00.000 UTC,1.16714,1.16746,1.16714,1.16746,59.85
07.08.2025 06:25:00.000 UTC,1.16744,1.16745,1.16728,1.16739,73.14
07.08.2025 06:26:00.000 UTC,1.16739,1.16754,1.16739,1.16749,47.91
07.08.2025 06:27:00.000 UTC,1.16749,1.16753,1.16744,1.16751,39.24
07.08.2025 06:28:00.000 UTC,1.16754,1.16755,1.16747,1.16754,78.77
07.08.2025 06:29:00.000 UTC,1.16753,1.16763,1.16743,1.16761,82.82
07.08.2025 06:30:00.000 UTC,1.16757,1.1676,1.16746,1.16746,57.6
07.08.2025 06:31:00.000 UTC,1.16747,1.16757,1.16744,1.16753,28.35
07.08.2025 06:32:00.000 UTC,1.16753,1.16772,1.16753,1.16762,80.28
07.08.2025 06:33:00.000 UTC,1.16761,1.16765,1.16752,1.16759,46.56
07.08.2025 06:34:00.000 UTC,1.16757,1.16757,1.16744,1.16754,42.75
07.08.2025 06:35:00.000 UTC,1.1675,1.16757,1.16748,1.16749,66.6
07.08.2025 06:36:00.000 UTC,1.16749,1.16751,1.16735,1.16744,53.37
07.08.2025 06:37:00.000 UTC,1.16748,1.1675,1.16739,1.16744,68.04
07.08.2025 06:38:00.000 UTC,1.16746,1.16749,1.16744,1.16744,11.7
07.08.2025 06:39:00.000 UTC,1.16745,1.1675,1.16745,1.1675,31.05
07.08.2025 06:40:00.000 UTC,1.16752,1.16761,1.16741,1.16745,64.8
07.08.2025 06:41:00.000 UTC,1.16747,1.16748,1.16732,1.16737,37.79
